Course Name,Prerequisites,Norequisites
CS200,None,None
CS202,MATH096|MATH141,CS300|CS367
CS220,None,CS301
CS240,MATH217|MATH221|MATH275,None
CS250,None,None
CS252,None,None
CS270,None,CS570
CS298,None,None
CS300,CS200|CS220|CS302|CS310|CS301,CS367
CS304,CS200,None
CS310,MATH222,None
CS319,GRAD,None
CS320,CS220|CS301,None
CS352,CS252,None
CS354,CS252&(CS300|CS302),None
CS368,None,None
CS369,CS300|CS367,None
CS371,CS301,None
CS400,CS300,None
CS402,CS200|CS202|CS220|CS300|CS301|CS302|CS310|CS367,None
CS407,CS300|CS367,None
CS412,MATH222&(CS240|MATH234)&(CS200|CS300|CS301|CS302|CS310),None
CS425,MATH320|NATH340|MATH341|MATH375,None
CS435,MATH320|NATH340|MATH341|MATH375,None
CS471,MATH310&STAT333,None
CS475,MATH320|NATH340|MATH341|MATH375,None
CS502,CS300|CS302,None
CS506,(CS367|CS400)&(CS407|CS536|CS537|CS545|CS559|CS564|CS570|CS679|CS552),None
CS513,(MATH340|MATH341|MATH375)&(CS200|CS300|CS301|CS302|CS310),None
CS514,(MATH320|MATH340|MATH341|MATH375)&(MATH322|MATH376|MATH421|MATH521)&(CS200|CS220|CS300|CS310|CS301),None
CS518,None,None
CS520,(CS240|CS475)&(CS367|CS400),None
CS524,(CS200|CS300|CS301|CS302|CS310)&(MATH320|MATH340|MATH341|MATH375),None
CS525,MATH320|MATH340|MATH341|MATH375|MATH443,None
CS526,CS525&(CS200|CS300|CS301|CS302|CS310),None
CS532,(MATH222|MATH276)&(ECE203|CS200|CS220|CS300|CS301|CS302|CS310|CS320),None
CS533,ECE330&(MATH320|MATH340),None
CS534,(CS300|CS367)&(MATH217|MATH221|MATH275),None
CS536,CS354&(CS367|CS400),None
CS537,CS354&(CS367|CS400),None
CS538,CS354&(CS367|CS400),None
CS539,CS200|CS220|CS300|CS301|CS302|CS310,None
CS540,(CS300|CS367)&(MATH211|MATH217|MATH221|MATH275),None
CS545,CS536|CS537|CS564,None
CS547,MATH234&(CS300|CS367)&CS354,None
CS552,CS352&CS354,None
CS558,(CS367|CS400)&MATH234,None
CS559,(MATH222|MATH276)&(CS367|CS400),None
CS564,CS354&(CS367|CS400),None
CS567,(MATH320|MATH340)&(STAT511|STAT541|BMI551|STAT324|STAT371|STAT571),None
CS570,CS200|CS220|CS300|CS301|CS302,None
CS576,(CS300|CS367)&MATH222,None
CS577,(CS240|CS475)&(CS367|CS400),None
CS578,(CS300|CS367),None
CS579,None,None
CS611,None,None
CS612,CS611,None
CS613,CS612,None
CS614,CS613,None
CS635,(MATH320|MATH340|MATH341|MATH375)&(CS200|CS202|CS300|CS301|CS302),None
CS638,CS200|CS202|CS300|CS301|CS302|CS310|CS367,None
CS639,None,None
CS640,CS537,None
CS642,CS537,None
CS679,CS559,None
CS681,None,None
CS682,None,None
CS691,None,None
CS692,None,None
CS698,None,None
CS699,None,None
CS701,GRAD,None
CS703,GRAD,None
CS704,GRAD,None
CS706,GRAD,None
CS707,GRAD,None
CS710,GRAD,None
CS714,GRAD,None
CS715,GRAD,None
CS719,GRAD,None
CS723,GRAD,None
CS726,GRAD,None
CS727,GRAD,None
CS728,GRAD,None
CS730,CS726,None
CS733,GRAD,None
CS736,GRAD,None
CS739,CS736,None
CS740,GRAD,None
CS744,GRAD,None
CS750,GRAD,None	
CS752,GRAD,None
CS755,GRAD,None
CS756,GRAD,None
CS757,GRAD,None
CS758,GRAD,None
CS759,GRAD,None
CS760,GRAD,None
CS761,GRAD,None
CS763,GRAD,None
CS764,GRAD,None
CS765,GRAD,None
CS766,GRAD,None
CS767,GRAD,None
CS769,GRAD,None
CS770,GRAD,None
CS776,GRAD,None
CS777,GRAD,None
CS784,GRAD,None
CS787,GRAD,None
CS790,None,None
CS799,GRAD,None
CS809,GRAD,None
CS812,GRAD,None
CS837,GRAD,None
CS838,GRAD,None
CS839,GRAD,None
CS841,GRAD,None
CS861,CS761|ECE830,None
CS880,GRAD,None
CS899,None,None
CS900,None,None
CS915,None,None
CS990,None,None
CS999,None,None
